threshold,pct_reached,mean_turns,median_turns,std_turns,q25_turns,q75_turns
5,79.88,4.398597896845268,4.0,1.5732735359398353,3.0,5.0
11,86.22,3.9403850614706566,4.0,1.4317966064448189,3.0,5.0
20,89.58,3.624246483590087,3.0,1.3557321140099958,3.0,4.0
