threshold,pct_reached,mean_turns,median_turns,std_turns,q25_turns,q75_turns
5,79.88,7.487481221832749,7.0,1.235572796523946,7.0,8.0
11,86.22,7.112038970076548,7.0,1.0661295848781644,6.0,7.0
20,89.58,6.8370171913373525,7.0,0.9251851268310779,6.0,7.0
