threshold,pct_reached,mean_turns,median_turns,std_turns,q25_turns,q75_turns,model
5,79.88,7.487481221832749,7.0,1.2355727965239653,7.0,8.0,progressive
11,86.22,7.112038970076548,7.0,1.0661295848781434,6.0,7.0,progressive
20,89.58,6.8370171913373525,7.0,0.9251851268310544,6.0,7.0,progressive
5,79.88,7.5452595560006674,8.0,1.9902984502781274,6.0,9.0,random
11,86.22,6.971027603804222,7.0,1.9877930883372688,6.0,8.0,random
20,89.58,6.542524372999925,7.0,1.9487542622496308,5.0,8.0,random
5,79.88,4.398597896845268,4.0,1.573273535939837,3.0,5.0,rarity
11,86.22,3.9403850614706566,4.0,1.4317966064448207,3.0,5.0,rarity
20,89.58,3.624246483590087,3.0,1.3557321140100071,3.0,4.0,rarity
